feature_name,signal,description,expected_range,extraction_method
BVP_hr_mean,BVP,Mean heart rate (bpm) from peak intervals,40-180 bpm,peak detection (nk.ppg_peaks or scipy)
BVP_peak_count,BVP,Number of PPG peaks in the segment,5-25,peak detection
BVP_rr_mean,BVP,Mean peak-to-peak interval (s),0.33-1.5,diff of peaks / sfreq
BVP_sdnn,BVP,Std of RR intervals (ms),5-200,std(RR_ms)
BVP_rmssd,BVP,Root mean square of successive RR differences (ms),5-200,sqrt(mean(diff(RR_ms)^2))
BVP_pnn20,BVP,Proxy pNN20: fraction of |diff(RR)|>20ms (proxy for short windows),0-1,mean(|diff(RR_ms)|>20)
BVP_peak_amp_mean,BVP,Mean peak amplitude after bandpass filter,unitless,mean(x_bp[peaks])
BVP_peak_amp_std,BVP,Std of peak amplitudes,>=0,std(x_bp[peaks])
BVP_risetime_mean,BVP,Mean time from trough to following peak (s),0.05-0.5,peak idx - prev trough idx
BVP_env_std,BVP,Std of Hilbert envelope of bandpassed BVP,>=0,std(|hilbert(x_bp)|)
EDA_tonic_mean,EDA,Mean tonic level (µS) via <0.05 Hz lowpass,0.1-30,"mean(lowpass(x,0.05))"
EDA_tonic_slope,EDA,Linear slope of tonic level over segment (µS/s),-2..2,polyfit tonic vs t
EDA_scr_count,EDA,Number of SCR peaks on phasic signal,0-10,scipy find_peaks on phasic
EDA_scr_amp_mean,EDA,Mean prominence of SCR peaks,>=0,mean(peak prominences)
EDA_scr_rate,EDA,SCR peaks per 10 s,0-10,peaks / (duration/10)
EDA_phasic_auc,EDA,AUC of |phasic| over time (µS*s),>=0,trapz(|phasic|)/sfreq
EDA_range,EDA,Peak-to-peak range of EDA (µS),>=0,ptp(x)
RESP_rate,RESP,Respiratory rate (breaths/min),6-40,60 / mean peak interval after 0.1-0.5 Hz bandpass
RESP_interval_std,RESP,Std of peak-to-peak intervals (s),>=0,std(diff(peaks)/sfreq)
RESP_amp_mean,RESP,Mean peak amplitude (peak - mean trough),unitless,mean(xf[peaks]-mean(xf[troughs]))
RESP_amp_std,RESP,Std of peak amplitudes,>=0,std(xf[peaks])
RESP_ie_ratio,RESP,Inhale:exhale ratio proxy (median),0.3-2,median(inh/exh per cycle)
SPO2_mean,SpO2,Mean SpO2 (%),90-100,mean(x)
SPO2_std,SpO2,Std of SpO2 (%),>=0,std(x)
SPO2_min,SpO2,Minimum SpO2 in segment (%),80-100,min(x)
SPO2_dip_magnitude,SpO2,Mean - min SpO2 (%),>=0,mean(x) - min(x)
SPO2_dip_count,SpO2,Number of troughs >2% below mean,0-5,scipy find_peaks on -x
SPO2_slope,SpO2,Linear slope of SpO2 over segment (%/s),-1..1,polyfit vs t
BVP_RESP_envcorr,Cross,Pearson correlation between |hilbert(BVP_bp)| and RESP_bp,-1..1,"pearsonr(env, resp)"
